,ds,trend,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1981-01-01,0.25916690779206397,0.27,0.08,-10.596664128683123,17.004744479625465,0.25916690779206397,0.25916690779206397,3.183769284182113,3.183769284182113,3.183769284182113,0.024038250387908494,0.024038250387908494,0.024038250387908494,3.159731033794204,3.159731033794204,3.159731033794204,0.0,0.0,0.0,3.4429361919741766
1,1981-01-02,0.2591719220459665,0.27,0.08,-10.550592308118365,18.528204332426217,0.2591719220459665,0.2591719220459665,3.2345976280037485,3.2345976280037485,3.2345976280037485,-0.006798351435039271,-0.006798351435039271,-0.006798351435039271,3.241395979438788,3.241395979438788,3.241395979438788,0.0,0.0,0.0,3.493769550049715
2,1981-01-03,0.2591769341191504,0.27,0.08,-11.235233947374649,17.20742494424861,0.2591769341191504,0.2591769341191504,3.254375225789782,3.254375225789782,3.254375225789782,-0.0699179258427297,-0.0699179258427297,-0.0699179258427297,3.324293151632512,3.324293151632512,3.324293151632512,0.0,0.0,0.0,3.5135521599089325
3,1981-01-04,0.2591819440124343,0.27,0.08,-11.780347290931653,17.777616825687804,0.2591819440124343,0.2591819440124343,3.2670337959308977,3.2670337959308977,3.2670337959308977,-0.14004358404424092,-0.14004358404424092,-0.14004358404424092,3.4070773799751386,3.4070773799751386,3.4070773799751386,0.0,0.0,0.0,3.526215739943332
4,1981-01-05,0.2591869517266366,0.27,0.08,-12.486096038509993,17.846936410352857,0.2591869517266366,0.2591869517266366,3.4600020565873018,3.4600020565873018,3.4600020565873018,-0.02839457563850035,-0.02839457563850035,-0.02839457563850035,3.4883966322258027,3.4883966322258027,3.4883966322258027,0.0,0.0,0.0,3.7191890083139385
5,1981-01-06,0.25919195726257555,0.27,0.08,-9.941450179720523,19.0873929300723,0.25919195726257555,0.25919195726257555,3.63517445526093,3.63517445526093,3.63517445526093,0.06824516733696633,0.06824516733696633,0.06824516733696633,3.566929287923964,3.566929287923964,3.566929287923964,0.0,0.0,0.0,3.8943664125235053
6,1981-01-07,0.2591969606210693,0.27,0.08,-9.692341046003344,20.436018415856154,0.2591969606210693,0.2591969606210693,3.794291617050883,3.794291617050883,3.794291617050883,0.15287101923564622,0.15287101923564622,0.15287101923564622,3.6414205978152365,3.6414205978152365,3.6414205978152365,0.0,0.0,0.0,4.053488577671953
7,1981-01-08,0.2592019618029357,0.27,0.08,-10.765267786913059,18.04359481446152,0.2592019618029357,0.2592019618029357,3.7347555572195628,3.7347555572195628,3.7347555572195628,0.024038250387886127,0.024038250387886127,0.024038250387886127,3.7107173068316763,3.7107173068316763,3.7107173068316763,0.0,0.0,0.0,3.9939575190224983
8,1981-01-09,0.2592069608089924,0.27,0.08,-9.491644011756783,18.820953030270747,0.2592069608089924,0.2592069608089924,3.7670011177899485,3.7670011177899485,3.7670011177899485,-0.0067983514350454235,-0.0067983514350454235,-0.0067983514350454235,3.7737994692249948,3.7737994692249948,3.7737994692249948,0.0,0.0,0.0,4.026208078598941
9,1981-01-10,0.25921195764005706,0.27,0.08,-11.444632550701792,18.279793580856435,0.25921195764005706,0.25921195764005706,3.7598906368689198,3.7598906368689198,3.7598906368689198,-0.06991792584275043,-0.06991792584275043,-0.06991792584275043,3.82980856271167,3.82980856271167,3.82980856271167,0.0,0.0,0.0,4.0191025945089764
10,1981-01-11,0.2592169522969469,0.27,0.08,-9.946810175923556,17.96948237565433,0.2592169522969469,0.2592169522969469,3.738027527896998,3.738027527896998,3.738027527896998,-0.14004358404423212,-0.14004358404423212,-0.14004358404423212,3.8780711119412294,3.8780711119412294,3.8780711119412294,0.0,0.0,0.0,3.997244480193945
11,1981-01-12,0.25922194478047905,0.27,0.08,-10.555457417996394,18.208725239634227,0.25922194478047905,0.25922194478047905,3.889722581673155,3.889722581673155,3.889722581673155,-0.02839457563844209,-0.02839457563844209,-0.02839457563844209,3.9181171573115967,3.9181171573115967,3.9181171573115967,0.0,0.0,0.0,4.148944526453634
12,1981-01-13,0.2592269350914705,0.27,0.08,-10.18555705982924,17.640696751770616,0.2592269350914705,0.2592269350914705,4.017938216905048,4.017938216905048,4.017938216905048,0.06824516733698664,0.06824516733698664,0.06824516733698664,3.949693049568061,3.949693049568061,3.949693049568061,0.0,0.0,0.0,4.277165151996519
13,1981-01-14,0.259231923230738,0.27,0.08,-10.769380530708267,19.176822991055232,0.259231923230738,0.259231923230738,4.125639228881514,4.125639228881514,4.125639228881514,0.1528710192356361,0.1528710192356361,0.1528710192356361,3.9727682096458783,3.9727682096458783,3.9727682096458783,0.0,0.0,0.0,4.384871152112252
14,1981-01-15,0.25923690919909814,0.27,0.08,-10.343122570602192,18.727814164230328,0.25923690919909814,0.25923690919909814,4.011573912736608,4.011573912736608,4.011573912736608,0.024038250387869553,0.024038250387869553,0.024038250387869553,3.987535662348739,3.987535662348739,3.987535662348739,0.0,0.0,0.0,4.270810821935706
15,1981-01-16,0.2592418929973673,0.27,0.08,-11.146229093796089,18.633278680878608,0.2592418929973673,0.2592418929973673,3.9876079754835443,3.9876079754835443,3.9876079754835443,-0.006798351435028334,-0.006798351435028334,-0.006798351435028334,3.994406326918573,3.994406326918573,3.994406326918573,0.0,0.0,0.0,4.246849868480911
16,1981-01-17,0.2592468746263617,0.27,0.08,-10.369769603199504,18.402240121275764,0.2592468746263617,0.2592468746263617,3.924079296567292,3.924079296567292,3.924079296567292,-0.06991792584273555,-0.06991792584273555,-0.06991792584273555,3.993997222410028,3.993997222410028,3.993997222410028,0.0,0.0,0.0,4.183326171193654
17,1981-01-18,0.2592518540868973,0.27,0.08,-10.267674156442553,18.525532907043427,0.2592518540868973,0.2592518540868973,3.847070332063236,3.847070332063236,3.847070332063236,-0.14004358404422956,-0.14004358404422956,-0.14004358404422956,3.9871139161074654,3.9871139161074654,3.9871139161074654,0.0,0.0,0.0,4.106322186150133
18,1981-01-19,0.25925683137979,0.27,0.08,-9.285020197851901,18.52710938177985,0.25925683137979,0.25925683137979,3.9463331285677015,3.9463331285677015,3.9463331285677015,-0.028394575638484285,-0.028394575638484285,-0.028394575638484285,3.9747277042061846,3.9747277042061846,3.9747277042061846,0.0,0.0,0.0,4.205589959947491
